ID,SubjectArea,QuestionIdentifier,QuestionDisplayName,SampleValue,UsageForDataMigration
1,AUTHOR,AUT101,Author System Local ID,2.16.840.1.113883.19.5,Sending System OID (Root)
2,AUTHOR,AUT102,Author System  Name,STD*MIS NBS REF,Sending System Name
4,CUSTODIAN,CUS101,Custodian Local ID,13.3.3.3.333.23,Sending Facility OID (Root)
5,CUSTODIAN,CUS102,Custodian Name,STATE DEPT OF HEALTH,Sending Facility Name
6,CUSTODIAN,CUS103,Custodian Street Address 1,2 CORPORATE SQ NE,Sending Facility Address (line 1)
7,CUSTODIAN,CUS104,Custodian Street Address 2,SUITE 100,Sending Facility Address (line 2)
8,CUSTODIAN,CUS105,Custodian City,ATLANTA,Sending Facility City
9,CUSTODIAN,CUS106,Custodian State,13^GA^(FIPS 5-2 (State)),Sending Facility State
10,CUSTODIAN,CUS107,Custodian Zip,30318,Sending Facility Zip
11,CUSTODIAN,CUS108,Custodian Country,840^ UNITED STATES^(Country (ISO 3166)),Sending Facility Country
12,CUSTODIAN,CUS109,Custodian Telephone Work,678-555-3434,Sending Facility Phone (Use = WP)
